Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
5/04/2022 15:16,Oddish,Se ha unido a una sesión BigBlueButtonBN,The user with id 102 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.19.17.210
5/04/2022 15:15,Oddish,Actividad BigBlueButtonBN visualizada,The user with id 102 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.19.17.210
5/04/2022 15:15,Oddish,Actividad BigBlueButtonBN visualizada,The user with id 102 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.19.17.210
5/04/2022 15:15,Ninetales,Se ha unido a una sesión BigBlueButtonBN,The user with id 61 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:15,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:15,Ninetales,Actividad BigBlueButtonBN visualizada,The user with id 61 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,170155150139
5/04/2022 15:14,Haunter,Se ha unido a una sesión BigBlueButtonBN,The user with id 64 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.73.22
5/04/2022 15:14,Haunter,Actividad BigBlueButtonBN visualizada,The user with id 64 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.73.22
5/04/2022 15:13,Kadabra,Se ha unido a una sesión BigBlueButtonBN,The user with id 101 has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.148.151
5/04/2022 15:13,Kadabra,Actividad BigBlueButtonBN visualizada,The user with id 101 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.148.151
5/04/2022 15:13,Kadabra,Se ha abandonado una sesión BigBlueButtonBN,The user with id 101 has left a bigbluebutton meeting for the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.23.148.151
